dataset,approach,nNodes,nEdges,parseMs,computeMs,totalMs,peakUsedMemMB
wiki_basque,rdd_partitioned,162191,3044392,3799,14697,18496,4241
wiki_fr,rdd_partitioned,741237,38077524,52299,55516,107815,22736
wiki_pt,rdd_partitioned,434180,17049397,16893,30175,47068,11987
wiki_fr,rdd,741237,38077524,54976,108635,163611,21357
wiki_fr,dataframe,741237,38077524,40758,34205,74963,7891
wiki_breton,dataframe,41631,894080,3003,10329,13332,2636
wiki_basque,rdd,162191,3044392,5098,5956,11054,2627
wiki_chti,rdd_partitioned,4121,16746,272,1519,1791,236
wiki_basque,dataframe,162191,3044392,4543,12943,17486,4929
wiki_chti,dataframe,4121,16746,1317,7870,9187,2693
wiki_breton,rdd,41631,894080,2289,3573,5862,702
wiki_chti,rdd,4121,16746,1000,1728,2728,210
wiki_breton,rdd_partitioned,41631,894080,1461,9620,11081,1093
wiki_pt,rdd,434180,17049397,17706,36689,54395,12554
wiki_pt,dataframe,434180,17049397,19319,22425,41744,4749
