dataset,approach,beta,iters,id,rank
wiki_chti,rdd,0.85,5,Picardie,0.02279668155281027
wiki_chti,rdd,0.85,5,Nord-Pas-Calés,0.020156880489852286
wiki_chti,rdd,0.85,5,Sonme,0.019616917448813453
wiki_chti,rdd,0.85,5,Pas-Calés,0.017161693187472373
wiki_chti,rdd,0.85,5,Anmyin,0.011923357003184651
wiki_chti,rdd,0.85,5,Nord-Pas-d'Caleus,0.011080903887818403
wiki_chti,rdd,0.85,5,Pas-d'Caleus,0.01043149698461672
wiki_chti,rdd,0.85,5,Urope,0.010280271203363278
wiki_chti,rdd,0.85,5,Anmien,0.010086502318042008
wiki_chti,rdd,0.85,5,Bergike,0.009426636091289034
wiki_chti,rdd,0.85,5,Franche,0.009312156869597238
wiki_chti,rdd,0.85,5,Aro,0.008606755032048847
wiki_chti,rdd,0.85,5,Nord,0.008136720951323706
wiki_chti,rdd,0.85,5,Frinsé,0.005774294623957402
wiki_chti,rdd,0.85,5,Advile,0.005478802365318047
wiki_chti,rdd,0.85,5,Italie,0.005033372759123653
wiki_chti,rdd,0.85,5,Étots-Unis,0.00497104078687489
wiki_chti,rdd,0.85,5,Nirlindé,0.004931032697801135
wiki_chti,rdd,0.85,5,Alemanne,0.004480831272615126
wiki_chti,rdd,0.85,5,Paris,0.004414651015135839
wiki_chti,dataframe,0.85,5,Picardie,0.02286845166322273
wiki_chti,dataframe,0.85,5,Nord-Pas-Calés,0.020179735117115263
wiki_chti,dataframe,0.85,5,Sonme,0.019673401443892326
wiki_chti,dataframe,0.85,5,Pas-Calés,0.017166246015250686
wiki_chti,dataframe,0.85,5,Anmyin,0.011962035836535762
wiki_chti,dataframe,0.85,5,Nord-Pas-d'Caleus,0.011119966205016303
wiki_chti,dataframe,0.85,5,Pas-d'Caleus,0.010467960789884123
wiki_chti,dataframe,0.85,5,Urope,0.010331353831085166
wiki_chti,dataframe,0.85,5,Anmien,0.010117818278657393
wiki_chti,dataframe,0.85,5,Bergike,0.00947574452092815
wiki_chti,dataframe,0.85,5,Franche,0.009355677695722977
wiki_chti,dataframe,0.85,5,Aro,0.00863703341484773
wiki_chti,dataframe,0.85,5,Nord,0.008167764968706215
wiki_chti,dataframe,0.85,5,Frinsé,0.005799021764396987
wiki_chti,dataframe,0.85,5,Advile,0.0054954879471884426
wiki_chti,dataframe,0.85,5,Italie,0.005057653480112006
wiki_chti,dataframe,0.85,5,Étots-Unis,0.004992377763067852
wiki_chti,dataframe,0.85,5,Nirlindé,0.0049555707919592094
wiki_chti,dataframe,0.85,5,Alemanne,0.004500916435316411
wiki_chti,dataframe,0.85,5,Paris,0.004437080184877365
wiki_basque,dataframe,0.85,5,Kilometro,0.006572136922216242
wiki_basque,dataframe,0.85,5,Frantzia,0.005962173452278256
wiki_basque,dataframe,0.85,5,2009,0.004714696222368252
wiki_basque,dataframe,0.85,5,Animalia,0.004099918067786054
wiki_basque,dataframe,0.85,5,2013,0.003730771686528143
wiki_basque,dataframe,0.85,5,Alemania,0.0034472206636443526
wiki_basque,dataframe,0.85,5,INSEE,0.003383846291690867
wiki_basque,dataframe,0.85,5,Biztanleria-piramide,0.0033239790072151056
wiki_basque,dataframe,0.85,5,Estatu,0.0030732851384160263
wiki_basque,dataframe,0.85,5,Mediana,0.0029307329022091617
wiki_basque,dataframe,0.85,5,Ameriketako,0.0027334148429197357
wiki_basque,dataframe,0.85,5,Italia,0.0023540047733227403
wiki_basque,dataframe,0.85,5,Urtarrilaren,0.0020077479741879346
wiki_basque,dataframe,0.85,5,Arrain,0.0019643700407282216
wiki_basque,dataframe,0.85,5,1,0.001960880486606329
wiki_basque,dataframe,0.85,5,Euskal,0.0017944785560993527
wiki_basque,dataframe,0.85,5,Euskara,0.0016923397148882137
wiki_basque,dataframe,0.85,5,Italiako,0.001551593817512097
wiki_basque,dataframe,0.85,5,Ipar,0.0015017855723112265
wiki_basque,dataframe,0.85,5,Errepublika,0.001437669883882649
wiki_pt,rdd,0.85,5,Quilómetro,0.0034854645671061214
wiki_pt,rdd,0.85,5,Língua,0.003443377718471043
wiki_pt,rdd,0.85,5,Lista,0.0034243957921653067
wiki_pt,rdd,0.85,5,Comuna,0.002648581965806905
wiki_pt,rdd,0.85,5,Regiões,0.0023927938031885997
wiki_pt,rdd,0.85,5,Departamentos,0.0023149416702652743
wiki_pt,rdd,0.85,5,Estados,0.0021793571555327696
wiki_pt,rdd,0.85,5,Rio,0.001906103726527662
wiki_pt,rdd,0.85,5,Brasil,0.0017355086363413563
wiki_pt,rdd,0.85,5,Unidos,0.0015940158766292387
wiki_pt,rdd,0.85,5,Censo,0.001318612635388433
wiki_pt,rdd,0.85,5,Alemanha,0.0012611555752673868
wiki_pt,rdd,0.85,5,Cidade,0.0012226545050909377
wiki_pt,rdd,0.85,5,União,0.0012170362665143394
wiki_pt,rdd,0.85,5,Família,0.0011816842455172792
wiki_pt,rdd,0.85,5,Densidade,0.001106781293341239
wiki_pt,rdd,0.85,5,Sistema,0.00109640912093306
wiki_pt,rdd,0.85,5,América,0.001078469059233599
wiki_pt,rdd,0.85,5,Animalia,0.0010686552823697478
wiki_pt,rdd,0.85,5,São,0.0010552412068768966
wiki_pt,rdd_partitioned,0.85,5,Quilómetro,0.0034854645671057467
wiki_pt,rdd_partitioned,0.85,5,Língua,0.0034433777184707175
wiki_pt,rdd_partitioned,0.85,5,Lista,0.0034243957921649844
wiki_pt,rdd_partitioned,0.85,5,Comuna,0.002648581965806616
wiki_pt,rdd_partitioned,0.85,5,Regiões,0.0023927938031883277
wiki_pt,rdd_partitioned,0.85,5,Departamentos,0.0023149416702650132
wiki_pt,rdd_partitioned,0.85,5,Estados,0.0021793571555325697
