dataset,approach,nNodes,nEdges,parseMs,computeMs,totalMs,peakUsedMemMB
wiki_fr,rdd,741237,38077524,53743,345680,399423,22315
wiki_chti,rdd_partitioned,4121,16746,278,5140,5418,534
wiki_chti,dataframe,4121,16746,1305,25004,26309,2911
wiki_breton,dataframe,41631,894080,2997,32852,35849,4604
wiki_breton,rdd_partitioned,41631,894080,1411,28004,29415,1346
wiki_breton,rdd,41631,894080,2503,10042,12545,1170
wiki_basque,rdd_partitioned,162191,3044392,3829,43356,47185,4836
wiki_chti,rdd,4121,16746,1018,3420,4438,228
wiki_pt,dataframe,434180,17049397,19337,69970,89307,12691
wiki_pt,rdd,434180,17049397,17219,111312,128531,13935
wiki_fr,dataframe,741237,38077524,47130,97522,144652,11492
wiki_pt,rdd_partitioned,434180,17049397,16501,83175,99676,14839
wiki_basque,rdd,162191,3044392,4807,17647,22454,2118
wiki_basque,dataframe,162191,3044392,4999,39113,44112,6415
wiki_fr,rdd_partitioned,741237,38077524,55260,139892,195152,21566
