dataset,approach,beta,iters,id,rank
wiki_pt,dataframe,0.85,20,Quilómetro,0.0034058555684208236
wiki_pt,dataframe,0.85,20,Lista,0.003400492080325996
wiki_pt,dataframe,0.85,20,Língua,0.00339387254123495
wiki_pt,dataframe,0.85,20,Comuna,0.0026062011028699494
wiki_pt,dataframe,0.85,20,Regiões,0.002340044299510231
wiki_pt,dataframe,0.85,20,Departamentos,0.0022593343854271923
wiki_pt,dataframe,0.85,20,Estados,0.0022055679583031784
wiki_pt,dataframe,0.85,20,Rio,0.0018656114969401452
wiki_pt,dataframe,0.85,20,Brasil,0.0017575209772748349
wiki_pt,dataframe,0.85,20,Unidos,0.0016346333757403188
wiki_pt,dataframe,0.85,20,Censo,0.001330439912596737
wiki_pt,dataframe,0.85,20,União,0.0012310912590264471
wiki_pt,dataframe,0.85,20,Alemanha,0.0012306157275895103
wiki_pt,dataframe,0.85,20,Cidade,0.0011991841918295749
wiki_pt,dataframe,0.85,20,Família,0.0011225553938136361
wiki_pt,dataframe,0.85,20,América,0.0010954688589369628
wiki_pt,dataframe,0.85,20,São,0.0010744332936807948
wiki_pt,dataframe,0.85,20,Densidade,0.001053121693403967
wiki_pt,dataframe,0.85,20,Portugal,0.0010449622552736375
wiki_pt,dataframe,0.85,20,Sul,0.0010323079679286941
wiki_chti,rdd_partitioned,0.85,20,Picardie,0.02048901030122619
wiki_chti,rdd_partitioned,0.85,20,Nord-Pas-Calés,0.018886728403597213
wiki_chti,rdd_partitioned,0.85,20,Sonme,0.017564426159958544
wiki_chti,rdd_partitioned,0.85,20,Pas-Calés,0.01575445711030425
wiki_chti,rdd_partitioned,0.85,20,Urope,0.013048853260725229
wiki_chti,rdd_partitioned,0.85,20,Anmyin,0.010468789629640892
wiki_chti,rdd_partitioned,0.85,20,Bergike,0.01039703864810804
wiki_chti,rdd_partitioned,0.85,20,Nord-Pas-d'Caleus,0.010370245522845494
wiki_chti,rdd_partitioned,0.85,20,Pas-d'Caleus,0.009671906515569297
wiki_chti,rdd_partitioned,0.85,20,Franche,0.009449911405676787
wiki_chti,rdd_partitioned,0.85,20,Anmien,0.009109962662731506
wiki_chti,rdd_partitioned,0.85,20,Nord,0.008168928401421943
wiki_chti,rdd_partitioned,0.85,20,Aro,0.007775248737123312
wiki_chti,rdd_partitioned,0.85,20,Poéyis,0.006526854307746285
wiki_chti,rdd_partitioned,0.85,20,Frinsé,0.00612582519058828
wiki_chti,rdd_partitioned,0.85,20,Asie,0.006075741000777898
wiki_chti,rdd_partitioned,0.85,20,Maïenne,0.005887564058103261
wiki_chti,rdd_partitioned,0.85,20,Italie,0.005786271420724846
wiki_chti,rdd_partitioned,0.85,20,Nirlindé,0.0055435466651856955
wiki_chti,rdd_partitioned,0.85,20,Étots-Unis,0.005319002606843258
wiki_chti,rdd,0.85,20,Picardie,0.020489010301225956
wiki_chti,rdd,0.85,20,Nord-Pas-Calés,0.018886728403596897
wiki_chti,rdd,0.85,20,Sonme,0.01756442615995835
wiki_chti,rdd,0.85,20,Pas-Calés,0.015754457110303977
wiki_chti,rdd,0.85,20,Urope,0.01304885326072508
wiki_chti,rdd,0.85,20,Anmyin,0.010468789629640719
wiki_chti,rdd,0.85,20,Bergike,0.010397038648107919
wiki_chti,rdd,0.85,20,Nord-Pas-d'Caleus,0.01037024552284541
wiki_chti,rdd,0.85,20,Pas-d'Caleus,0.009671906515569222
wiki_chti,rdd,0.85,20,Franche,0.009449911405676673
wiki_chti,rdd,0.85,20,Anmien,0.009109962662731404
wiki_chti,rdd,0.85,20,Nord,0.008168928401421843
wiki_chti,rdd,0.85,20,Aro,0.007775248737123223
wiki_chti,rdd,0.85,20,Poéyis,0.00652685430774622
wiki_chti,rdd,0.85,20,Frinsé,0.006125825190588205
wiki_chti,rdd,0.85,20,Asie,0.006075741000777835
wiki_chti,rdd,0.85,20,Maïenne,0.005887564058103208
wiki_chti,rdd,0.85,20,Italie,0.005786271420724783
wiki_chti,rdd,0.85,20,Nirlindé,0.005543546665185629
wiki_chti,rdd,0.85,20,Étots-Unis,0.005319002606843195
wiki_basque,rdd_partitioned,0.85,20,Kilometro,0.006549631526534024
wiki_basque,rdd_partitioned,0.85,20,Frantzia,0.005511430535125855
wiki_basque,rdd_partitioned,0.85,20,2009,0.004388934557034597
wiki_basque,rdd_partitioned,0.85,20,Animalia,0.0036318615413566697
wiki_basque,rdd_partitioned,0.85,20,Alemania,0.0034550243035889475
wiki_basque,rdd_partitioned,0.85,20,2013,0.003399291355161002
wiki_basque,rdd_partitioned,0.85,20,Estatu,0.003247819511830547
wiki_basque,rdd_partitioned,0.85,20,INSEE,0.00304410887286508
wiki_basque,rdd_partitioned,0.85,20,Biztanleria-piramide,0.0029816843261348687
wiki_basque,rdd_partitioned,0.85,20,Ameriketako,0.0028935192016573802
wiki_basque,rdd_partitioned,0.85,20,Mediana,0.0026179926375959105
wiki_basque,rdd_partitioned,0.85,20,Italia,0.0023179109689543485
wiki_basque,rdd_partitioned,0.85,20,Urtarrilaren,0.0020368237936518457
wiki_basque,rdd_partitioned,0.85,20,1,0.0019937501668007744
wiki_basque,rdd_partitioned,0.85,20,Euskal,0.001825965003529989
wiki_basque,rdd_partitioned,0.85,20,Euskara,0.0017415388615766398
wiki_basque,rdd_partitioned,0.85,20,Arrain,0.001728069167476217
wiki_basque,rdd_partitioned,0.85,20,Italiako,0.001525091619499266
wiki_basque,rdd_partitioned,0.85,20,Ipar,0.0015236830869029567
wiki_basque,rdd_partitioned,0.85,20,Errepublika,0.001461477691501058
wiki_fr,rdd_partitioned,0.85,20,Liste,0.003708741567928402
wiki_fr,rdd_partitioned,0.85,20,France,0.001602498868850896
wiki_fr,rdd_partitioned,0.85,20,Arrondissement,0.0015947589286241328
wiki_fr,rdd_partitioned,0.85,20,Région,0.0015003845479396964
wiki_fr,rdd_partitioned,0.85,20,La,0.0014576502820999734
wiki_fr,rdd_partitioned,0.85,20,District,0.0014062948335267817
wiki_fr,rdd_partitioned,0.85,20,Commune,0.0013814667053535805
wiki_fr,rdd_partitioned,0.85,20,Le,0.001365440606344603
wiki_fr,rdd_partitioned,0.85,20,Famille,0.0012284113537806482
wiki_fr,rdd_partitioned,0.85,20,États-Unis,0.0011594146273229383
wiki_fr,rdd_partitioned,0.85,20,Province,0.001025908156828258
wiki_fr,rdd_partitioned,0.85,20,Canton,9.891083328278502E-4
wiki_fr,rdd_partitioned,0.85,20,République,9.80616498618006E-4
wiki_fr,rdd_partitioned,0.85,20,Jean,9.611035110568771E-4
wiki_fr,rdd_partitioned,0.85,20,Guerre,9.368995843018803E-4
wiki_fr,rdd_partitioned,0.85,20,Comté,9.261417835746202E-4
wiki_fr,rdd_partitioned,0.85,20,2014,9.040117957481848E-4
wiki_fr,rdd_partitioned,0.85,20,Pierre,8.98950560217837E-4
wiki_fr,rdd_partitioned,0.85,20,Communauté,8.617464054385115E-4
wiki_fr,rdd_partitioned,0.85,20,Les,8.512853104402801E-4
wiki_basque,dataframe,0.85,20,Kilometro,0.006550270857462028
wiki_basque,dataframe,0.85,20,Frantzia,0.005511968482339144
wiki_basque,dataframe,0.85,20,2009,0.004389362948056768
wiki_basque,dataframe,0.85,20,Animalia,0.003632216026112543
wiki_basque,dataframe,0.85,20,Alemania,0.003455361557000346
wiki_basque,dataframe,0.85,20,2013,0.0033996231421130276
wiki_basque,dataframe,0.85,20,Estatu,0.003248136560342929
wiki_basque,dataframe,0.85,20,INSEE,0.0030444059864496095
wiki_basque,dataframe,0.85,20,Biztanleria-piramide,0.0029819753457224875
wiki_basque,dataframe,0.85,20,Ameriketako,0.0028938016642191203
wiki_basque,dataframe,0.85,20,Mediana,0.0026182481575480047
wiki_basque,dataframe,0.85,20,Italia,0.0023181372318511247
wiki_basque,dataframe,0.85,20,Urtarrilaren,0.0020370226222514057
wiki_basque,dataframe,0.85,20,1,0.0019939447904752184
wiki_basque,dataframe,0.85,20,Euskal,0.001826143241340086
wiki_basque,dataframe,0.85,20,Euskara,0.001741708864522056
wiki_basque,dataframe,0.85,20,Arrain,0.0017282378385952476
wiki_basque,dataframe,0.85,20,Italiako,0.0015252404908855926
wiki_basque,dataframe,0.85,20,Ipar,0.001523831821746045
wiki_basque,dataframe,0.85,20,Errepublika,0.0014616203544361589
wiki_breton,dataframe,0.85,20,Yezhoù,0.004338012257370264
wiki_breton,dataframe,0.85,20,Bro-C'hall,0.0038136427989455437
wiki_breton,dataframe,0.85,20,Breizh,0.003568679301741787
wiki_breton,dataframe,0.85,20,Du,0.0031287006998770013
wiki_breton,dataframe,0.85,20,Amerika,0.0031261368183339022
wiki_breton,dataframe,0.85,20,Genver,0.0030873227429756545
wiki_breton,dataframe,0.85,20,Here,0.0030459443219648706
wiki_breton,dataframe,0.85,20,Gouere,0.003040892787756598
wiki_breton,dataframe,0.85,20,Meurzh,0.0029528147175726686
wiki_breton,dataframe,0.85,20,Eost,0.0029505713781643778
wiki_breton,dataframe,0.85,20,Kerzu,0.002918013161024195
wiki_breton,dataframe,0.85,20,Europa,0.002881402414788012
wiki_breton,dataframe,0.85,20,Gwengolo,0.0028609051483559703
wiki_breton,dataframe,0.85,20,Mae,0.002837813907069469
wiki_breton,dataframe,0.85,20,Mezheven,0.002834664201771997
wiki_breton,dataframe,0.85,20,Ebrel,0.002791229903610194
wiki_breton,dataframe,0.85,20,Bloavezhioù,0.002777020295735178
wiki_breton,dataframe,0.85,20,Republik,0.0027705274633335773
wiki_breton,dataframe,0.85,20,Deiziadur,0.0026960211478606624
wiki_breton,dataframe,0.85,20,Arondisamant,0.0026869634225818654
wiki_chti,dataframe,0.85,20,Picardie,0.02056034498048165
wiki_chti,dataframe,0.85,20,Nord-Pas-Calés,0.01895242592049708
wiki_chti,dataframe,0.85,20,Sonme,0.017625591080601667
wiki_chti,dataframe,0.85,20,Pas-Calés,0.015809281756365375
wiki_chti,dataframe,0.85,20,Urope,0.013094468581708782
wiki_chti,dataframe,0.85,20,Anmyin,0.010505195406101476
wiki_chti,dataframe,0.85,20,Bergike,0.010433167030896378
wiki_chti,dataframe,0.85,20,Nord-Pas-d'Caleus,0.010406365933859865
wiki_chti,dataframe,0.85,20,Pas-d'Caleus,0.009705602715716181
wiki_chti,dataframe,0.85,20,Franche,0.009482799578995279
wiki_chti,dataframe,0.85,20,Anmien,0.009141664801062824
wiki_chti,dataframe,0.85,20,Nord,0.008197346050718516
wiki_chti,dataframe,0.85,20,Aro,0.00780230557551669
wiki_chti,dataframe,0.85,20,Poéyis,0.0065515430505108715
wiki_chti,dataframe,0.85,20,Frinsé,0.006147147411202675
wiki_chti,dataframe,0.85,20,Asie,0.006097123379545626
wiki_chti,dataframe,0.85,20,Maïenne,0.005907504760216514
wiki_chti,dataframe,0.85,20,Italie,0.005806498539404122
wiki_chti,dataframe,0.85,20,Nirlindé,0.005562808989273045
wiki_chti,dataframe,0.85,20,Étots-Unis,0.0053375700061099795
wiki_breton,rdd_partitioned,0.85,20,Yezhoù,0.004337343612425251
wiki_breton,rdd_partitioned,0.85,20,Bro-C'hall,0.0038130549547129027
wiki_breton,rdd_partitioned,0.85,20,Breizh,0.00356812921465624
wiki_breton,rdd_partitioned,0.85,20,Du,0.003128218430160632
wiki_breton,rdd_partitioned,0.85,20,Amerika,0.003125654971899931
wiki_breton,rdd_partitioned,0.85,20,Genver,0.0030868468501080754
wiki_breton,rdd_partitioned,0.85,20,Here,0.003045474808838657
wiki_breton,rdd_partitioned,0.85,20,Gouere,0.003040424051686639
wiki_breton,rdd_partitioned,0.85,20,Meurzh,0.002952359558771673
wiki_breton,rdd_partitioned,0.85,20,Eost,0.002950116565088231
wiki_breton,rdd_partitioned,0.85,20,Kerzu,0.002917563366167107
wiki_breton,rdd_partitioned,0.85,20,Europa,0.0028809582725875743
wiki_breton,rdd_partitioned,0.85,20,Gwengolo,0.0028604641565859947
wiki_breton,rdd_partitioned,0.85,20,Mae,0.0028373764750277133
wiki_breton,rdd_partitioned,0.85,20,Mezheven,0.002834227254743958
wiki_breton,rdd_partitioned,0.85,20,Ebrel,0.0027907996519057183
wiki_breton,rdd_partitioned,0.85,20,Bloavezhioù,0.0027765922319606634
wiki_breton,rdd_partitioned,0.85,20,Republik,0.0027701004103761603
wiki_breton,rdd_partitioned,0.85,20,Deiziadur,0.002695605570123566
wiki_breton,rdd_partitioned,0.85,20,Arondisamant,0.0026865492478495017
wiki_pt,rdd_partitioned,0.85,20,Quilómetro,0.003405132969315881
wiki_pt,rdd_partitioned,0.85,20,Lista,0.0033997706245000184
wiki_pt,rdd_partitioned,0.85,20,Língua,0.003393152489716175
wiki_pt,rdd_partitioned,0.85,20,Comuna,0.002605648166482503
wiki_pt,rdd_partitioned,0.85,20,Regiões,0.0023395478317721112
wiki_pt,rdd_partitioned,0.85,20,Departamentos,0.0022588550415711967
wiki_pt,rdd_partitioned,0.85,20,Estados,0.0022051000141108546
wiki_pt,rdd_partitioned,0.85,20,Rio,0.001865215679062341
wiki_pt,rdd_partitioned,0.85,20,Brasil,0.001757148096945811
wiki_pt,rdd_partitioned,0.85,20,Unidos,0.0016342865619986928
wiki_pt,rdd_partitioned,0.85,20,Censo,0.0013301576325252115
wiki_pt,rdd_partitioned,0.85,20,União,0.001230830062370412
wiki_pt,rdd_partitioned,0.85,20,Alemanha,0.0012303546378758898
wiki_pt,rdd_partitioned,0.85,20,Cidade,0.0011989297644993233
wiki_pt,rdd_partitioned,0.85,20,Família,0.0011223172478579532
wiki_pt,rdd_partitioned,0.85,20,América,0.001095236440618445
wiki_pt,rdd_partitioned,0.85,20,São,0.001074205336430477
wiki_pt,rdd_partitioned,0.85,20,Densidade,0.0010528982591262524
wiki_pt,rdd_partitioned,0.85,20,Portugal,0.001044740552244218
wiki_pt,rdd_partitioned,0.85,20,Sul,0.0010320889532987397
wiki_fr,dataframe,0.85,20,Liste,0.003709535176200388
wiki_fr,dataframe,0.85,20,France,0.0016028417798286002
wiki_fr,dataframe,0.85,20,Arrondissement,0.0015951001828039988
wiki_fr,dataframe,0.85,20,Région,0.001500705607473253
wiki_fr,dataframe,0.85,20,La,0.001457962198111224
